,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
114,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.09004416993290996,Adaptive Biweight with first width 1680.0
115,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.7274475482713044,Adaptive Biweight with first width 1680.0
116,8400.0,0,0,50,beta,420.0,100,2.0,1.6595692977584635,Adaptive Biweight with first width 1680.0
117,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10817193875757868,Adaptive Biweight with first width 1680.0
118,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2998062860096384,Adaptive Biweight with first width 1680.0
119,8400.0,0,0,50,beta,420.0,100,2.0,2.1379433091996938,Adaptive Biweight with first width 1680.0
120,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.131616419761202,Adaptive Biweight with first width 1680.0
121,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.578501230868835,Adaptive Biweight with first width 1680.0
122,8400.0,0,0,50,beta,420.0,100,2.0,2.542208362701968,Adaptive Biweight with first width 1680.0
123,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11542692927261047,Adaptive Biweight with first width 1680.0
124,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.5304042861725269,Adaptive Biweight with first width 1680.0
125,8400.0,0,0,50,beta,420.0,100,2.0,2.2075167350066343,Adaptive Biweight with first width 1680.0
126,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.09184108010997244,Adaptive Biweight with first width 1680.0
127,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.8518065439790109,Adaptive Biweight with first width 1680.0
128,8400.0,0,0,50,beta,420.0,100,2.0,1.3769146766896867,Adaptive Biweight with first width 1680.0
129,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.08833381110992984,Adaptive Biweight with first width 1680.0
130,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.5050268659496744,Adaptive Biweight with first width 1680.0
131,8400.0,0,0,50,beta,420.0,100,2.0,2.2990868052633933,Adaptive Biweight with first width 1680.0
132,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.15377501558085982,Adaptive Biweight with first width 1680.0
133,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2906023891078071,Adaptive Biweight with first width 1680.0
134,8400.0,0,0,50,beta,420.0,100,2.0,2.252408404514689,Adaptive Biweight with first width 1680.0
135,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11839243686138558,Adaptive Biweight with first width 1680.0
136,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.8386820848609674,Adaptive Biweight with first width 1680.0
137,8400.0,0,0,50,beta,420.0,100,2.0,1.5711064592201522,Adaptive Biweight with first width 1680.0
138,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.13198812879405133,Adaptive Biweight with first width 1680.0
139,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0143216346385793,Adaptive Biweight with first width 1680.0
140,8400.0,0,0,50,beta,420.0,100,2.0,1.7779278281825939,Adaptive Biweight with first width 1680.0
141,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12289292270037,Adaptive Biweight with first width 1680.0
142,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1239080968690172,Adaptive Biweight with first width 1680.0
143,8400.0,0,0,50,beta,420.0,100,2.0,2.0372051348924516,Adaptive Biweight with first width 1680.0
144,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.1434947897487541,Adaptive Biweight with first width 1680.0
145,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.503963444647746,Adaptive Biweight with first width 1680.0
146,8400.0,0,0,50,beta,420.0,100,2.0,2.559472349597286,Adaptive Biweight with first width 1680.0
147,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.1266157881789815,Adaptive Biweight with first width 1680.0
148,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.247724176833634,Adaptive Biweight with first width 1680.0
149,8400.0,0,0,50,beta,420.0,100,2.0,2.0787841453515026,Adaptive Biweight with first width 1680.0
150,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.0832062432619235,Adaptive Biweight with first width 1680.0
151,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.2699141774416285,Adaptive Biweight with first width 1680.0
152,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.9700397751871983,Adaptive Biweight with first width 1680.0
153,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.13184547083137407,Adaptive Biweight with first width 1680.0
154,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.1033246330280329,Adaptive Biweight with first width 1680.0
155,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.9143143124813793,Adaptive Biweight with first width 1680.0
156,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.10949851310628678,Adaptive Biweight with first width 1680.0
157,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.8319779844255232,Adaptive Biweight with first width 1680.0
158,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.6054511500711943,Adaptive Biweight with first width 1680.0
159,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.11107365860335372,Adaptive Biweight with first width 1680.0
160,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.1169375970025657,Adaptive Biweight with first width 1680.0
161,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.023217413792677,Adaptive Biweight with first width 1680.0
162,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.1459691930788843,Adaptive Biweight with first width 1680.0
163,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.4209881297876408,Adaptive Biweight with first width 1680.0
164,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.5288607748212844,Adaptive Biweight with first width 1680.0
165,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.13196220011690768,Adaptive Biweight with first width 1680.0
166,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.301378698974108,Adaptive Biweight with first width 1680.0
167,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.1764833766718685,Adaptive Biweight with first width 1680.0
168,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.12546642411352268,Adaptive Biweight with first width 1680.0
169,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.6793608378209164,Adaptive Biweight with first width 1680.0
170,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.5091325420037927,Adaptive Biweight with first width 1680.0
171,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.11695825418745225,Adaptive Biweight with first width 1680.0
172,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.5062136559223618,Adaptive Biweight with first width 1680.0
173,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.142992264651295,Adaptive Biweight with first width 1680.0
174,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.13525210460754508,Adaptive Biweight with first width 1680.0
175,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.1834678369300284,Adaptive Biweight with first width 1680.0
176,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.7868547871550209,Adaptive Biweight with first width 1680.0
177,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.12567039499678798,Adaptive Biweight with first width 1680.0
178,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.9367303767764344,Adaptive Biweight with first width 1680.0
179,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.4084867196364803,Adaptive Biweight with first width 1680.0
