,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
180,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.21985419289898844,Adaptive Biweight with first width 2400.0
181,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2541195429984178,Adaptive Biweight with first width 2400.0
182,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.8554671079698863,Adaptive Biweight with first width 2400.0
183,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.226069676084876,Adaptive Biweight with first width 2400.0
184,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2385527286104383,Adaptive Biweight with first width 2400.0
185,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.926040810424592,Adaptive Biweight with first width 2400.0
186,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.21763695980838227,Adaptive Biweight with first width 2400.0
187,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3870686234752208,Adaptive Biweight with first width 2400.0
188,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.066790617574321,Adaptive Biweight with first width 2400.0
189,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2166958027876216,Adaptive Biweight with first width 2400.0
190,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3429888154126144,Adaptive Biweight with first width 2400.0
191,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.135344773968828,Adaptive Biweight with first width 2400.0
192,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.23404004413384574,Adaptive Biweight with first width 2400.0
193,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2108974639327854,Adaptive Biweight with first width 2400.0
194,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.9560897961730142,Adaptive Biweight with first width 2400.0
195,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2160002013427132,Adaptive Biweight with first width 2400.0
196,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3516367484918623,Adaptive Biweight with first width 2400.0
197,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0326818426207467,Adaptive Biweight with first width 2400.0
198,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.21645438426250255,Adaptive Biweight with first width 2400.0
199,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2965539868871403,Adaptive Biweight with first width 2400.0
200,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.9799810498046548,Adaptive Biweight with first width 2400.0
201,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2137366322717641,Adaptive Biweight with first width 2400.0
202,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3708776187993874,Adaptive Biweight with first width 2400.0
203,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0307185737641817,Adaptive Biweight with first width 2400.0
204,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2123719664311139,Adaptive Biweight with first width 2400.0
205,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3895986083089558,Adaptive Biweight with first width 2400.0
206,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.1119437456945263,Adaptive Biweight with first width 2400.0
207,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2168263587986196,Adaptive Biweight with first width 2400.0
208,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3176995369924522,Adaptive Biweight with first width 2400.0
209,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0596503252624703,Adaptive Biweight with first width 2400.0
210,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.22021809228380806,Adaptive Biweight with first width 2400.0
211,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3703874683504147,Adaptive Biweight with first width 2400.0
212,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0926882020271345,Adaptive Biweight with first width 2400.0
213,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2242523699608804,Adaptive Biweight with first width 2400.0
214,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3390134345230695,Adaptive Biweight with first width 2400.0
215,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.000983833413412,Adaptive Biweight with first width 2400.0
216,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2323406764959195,Adaptive Biweight with first width 2400.0
217,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2779115851606595,Adaptive Biweight with first width 2400.0
218,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0213336623337272,Adaptive Biweight with first width 2400.0
219,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.19993078581463333,Adaptive Biweight with first width 2400.0
220,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.1785586600191282,Adaptive Biweight with first width 2400.0
221,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.8293463364570213,Adaptive Biweight with first width 2400.0
